0,org_name,Област,Община,Град/село,Район,special_territory_type,special_territory_name,description,contact_email
119,Областна администрация Пловдив,Пловдив,,,,,,,
120,Областна администрация Разград,Разград,,,,,,,
121,Областна администрация Русе,Русе,,,,,,,
122,Областна администрация Силистра,Силистра,,,,,,,
123,Областна администрация Сливен,Сливен,,,,,,,
124,Областна администрация Смолян,Смолян,,,,,,,
125,Областна администрация Софийска област,Софийска област,,,,,,,
126,Областна администрация Стара Загора,Стара Загора,,,,,,,
127,Областна администрация Хасково,Хасково,,,,,,,
128,Областна администрация Шумен,Шумен,,,,,,,
129,Областна администрация Ямбол,Ямбол,,,,,,,
130,Областна дирекция Земеделие  Габрово,Габрово,,,,,,,
131,Областна дирекция Земеделие  Пазарджик,Пазарджик,,,,,,,
132,Областна дирекция Земеделие  Хасково,Хасково,,,,,,,
133,Областна дирекция Земеделие Благоевград,Благоевград,,,,,,,
134,Областна дирекция Земеделие Бургас,Бургас,,,,,,,
135,Областна Дирекция Земеделие Варна,Варна,,,,,,,
136,Областна дирекция Земеделие Велико Търново,Велико Търново,,,,,,,
137,Областна дирекция Земеделие Видин,Видин,,,,,,,
138,Областна дирекция Земеделие Враца,Враца,,,,,,,
139,Областна дирекция Земеделие Добрич,Добрич,,,,,,,
140,Областна дирекция Земеделие Кърджали,Кърджали,,,,,,,
141,Областна дирекция Земеделие Кюстендил,Кюстендил,,,,,,,
142,Областна дирекция Земеделие Ловеч,Ловеч,,,,,,,
143,Областна дирекция Земеделие Монтана,Монтана,,,,,,,
144,Областна дирекция Земеделие Перник,Перник,,,,,,,
145,Областна дирекция Земеделие Плевен,Плевен,,,,,,,
146,Областна дирекция Земеделие Пловдив,Пловдив,,,,,,,
147,Областна дирекция Земеделие Разград,Разград,,,,,,,
148,Областна дирекция Земеделие Русе,Русе,,,,,,,
149,Областна дирекция Земеделие Силистра,Силистра,,,,,,,
150,Областна дирекция Земеделие Сливен,Сливен,,,,,,,
151,Областна дирекция Земеделие Смолян,Смолян,,,,,,,
152,Областна Дирекция Земеделие София град,София-столица,,,,,,,
153,Областна дирекция Земеделие София област,Софийска област,,,,,,,
154,Областна дирекция Земеделие Стара Загора,Стара Загора,,,,,,,
155,Областна дирекция Земеделие Търговище,Търговище,,,,,,,
156,Областна дирекция Земеделие Шумен,Шумен,,,,,,,
157,Областна дирекция Земеделие Ямбол,Ямбол,,,,,,,
158,Община Аврен,Варна,Аврен,,,,,,kmet@avren.bg
159,Община Айтос,Бургас,Айтос,,,,,,obshtina@aytos.bg
160,Община Аксаково,Варна,Аксаково,,,,,,aksakovo@mail.orbitel.bg
161,Община Алфатар,Силистра,Алфатар,,,,,,obshtina_alfatar@abv.bg
162,Община Антон,София,Антон,,,,,,obanton@abv.bg
163,Община Антоново,Търговище,Антоново,,,,,,ob_antonovo@abv.bg
164,Община Априлци,Ловеч,Априлци,,,,,,info@obshtina-apriltsi.com
165,Община Ардино,Кърджали,Ардино,,,,,,ardino@abv.bg
166,Община Асеновград,Пловдив,Асеновград,,,,,,obshtina@asenovgrad.bg
167,Община Балчик,Добрич,Балчик,,,,,,mayor@balchik.bg
168,Община Баните,Смолян,Баните,,,,,,banite@banite.egov.bg
169,Община Банско,Благоевград,Банско,,,,,,obabansko@bansko.bg
170,Община Батак,Пазарджик,Батак,,,,,,mncplt_batak@abv.bg
171,Община Белене,Плевен,Белене,,,,,,obshtinabl@abv.bg
172,Община Белица,Благоевград,Белица,,,,,,obelica@abv.bg
173,Община Белово,Пазарджик,Белово,,,,,,kmet@belovo.bg
174,Община Белоградчик,Видин,Белоградчик,,,,,,kmet@belogradchik.egov.bg
175,Община Белослав,Варна,Белослав,,,,,,obshtina_beloslav@beloslav.org
176,Община Берковица,Монтана,Берковица,,,,,,ob@berkovitsa.com
177,Община Благоевград,Благоевград,Благоевград,,,,,,blg@blagoevgrad.bg
178,Община Бобов дол,Кюстендил,Бобов дол,,,,,,obshtina@bobovdol.egov.bg
179,Община Бобошево,Кюстендил,Бобошево,,,,,,obshtina@boboshevo.egov.bg
180,Община Божурище,София,Божурище,,,,,,obshtina@bozhurishte.bg
181,Община Бойница,Видин,Бойница,,,,,,boinica@mail.orbitel.bg
182,Община Бойчиновци,Монтана,Бойчиновци,,,,,,kmet@boychinovtsi.bg
183,Община Болярово,Ямбол,Болярово,,,,,,obstina@bolyarovo.bg
184,Община Борино,Смолян,Борино,,,,,,obshtina@borino.egov.bg
185,Община Борован,Враца,Борован,,,,,,ob.borovan@borovan.egov.bg
186,Община Борово,Русе,Борово,,,,,,borovo@borovo.org
187,Община Ботевград,София,Ботевград,,,,,,obshtina@botevgrad.org
188,Община Братя Даскалови,Стара Загора,Братя Даскалови,,,,,,kmet@brdaskalovi.egov.bg
189,Община Брацигово,Пазарджик,Брацигово,,,,,,kmet@bratsigovo.egov.bg
190,Община Брегово,Видин,Брегово,,,,,,kmet@bregovo.bg
191,Община Брезник,Перник,Брезник,,,,,,kmet@breznik.egov.bg
192,Община Брезово,Пловдив,Брезово,,,,,,oba@brezovo.bg
193,Община Брусарци,Монтана,Брусарци,,,,,,obshtina@brusartsi.egov.bg
194,Община Бургас,Бургас,Бургас,,,,,,obshtina@burgas.bg
195,Община Бяла Слатина,Варна,Бяла Слатина,,,,,,byala_mayor@abv.bg
196,Община Бяла-обл. Варна,Русе,Бяла-обл. Варна,,,,,,byala.rs@byala.bg
197,Община Бяла-обл. Русе,Враца,Бяла-обл. Русе,,,,,,bslatina@oabsl.bg
198,Община Варна,Варна,Варна,,,,,,adm_obsluzhvane@varna.bg
199,Община Варна - Район Аспарухово,Варна,Варна,Варна,Район Аспарухово,,,,
200,Община Варна - Район Владислав Варненчик,Варна,Варна,Варна,Район Владислав Варненчик,,,,
201,Община Варна - Район Младост,Варна,Варна,Варна,Район Младост,,,,
202,Община Варна - Район Одесос,Варна,Варна,Варна,Район Одесос,,,,
203,Община Варна - Район Приморски,Варна,Варна,Варна,Район Приморски,,,,
204,Община Велики Преслав,Шумен,Велики Преслав,,,,,,info@velikipreslav.bg
205,Община Велико Търново,Велико Търново,Велико Търново,,,,,,obshtina@veliko-tarnovo.bg
206,Община Велинград,Пазарджик,Велинград,,,,,,obshtina@velingrad.bg
207,Община Венец,Шумен,Венец,,,,,,kmet@venets.bg
208,Община Ветово,Русе,Ветово,,,,,,vetovo@vetovo.bg
209,Община Ветрино,Варна,Ветрино,,,,,,obshtina@vetrino.bg
210,Община Видин,Видин,Видин,,,,,,kmet@vidin.bg
211,Община Враца,Враца,Враца,,,,,,obshtinavr@b-trust.org
212,Община Вълчедръм,Монтана,Вълчедръм,,,,,,kmet@valchedram.egov.bg
213,Община Вълчи дол,Варна,Вълчи дол,,,,,,oba@valchidol.bg
214,Община Върбица,Шумен,Върбица,,,,,,kmet@varbitsa.bg
215,Община Вършец,Монтана,Вършец,,,,,,admin@varshets.bg
216,Община Габрово,Габрово,Габрово,,,,,,gabrovo@gabrovo.bg
217,Община Генерал Тошево,Добрич,Генерал Тошево,,,,,,mail@toshevo.org
218,Община Георги Дамяново,Монтана,Георги Дамяново,,,,,,gd3470@mail.bg
219,Община Главиница,Силистра,Главиница,,,,,,obshtina@glavinitsa.bg
220,Община Годеч,София,Годеч,,,,,,obshtina_godech@abv.bg
221,Община Горна Малина,София,Горна Малина,,,,,,gmalina@gornamalina.bg
222,Община Горна Оряховица,Велико Търново,Горна Оряховица,,,,,,obshtina@g-oryahovica.bg
223,Община Гоце Делчев,Благоевград,Гоце Делчев,,,,,,obshtina@gotsedelchev.bg
224,Община Грамада,Видин,Грамада,,,,,,obstina_gramada@abv.bg
225,Община Гулянци,Плевен,Гулянци,,,,,,obshtina_gulianci@mail.bg
226,Община Гурково,Стара Загора,Гурково,,,,,,obshtina@gurkovo.bg
227,Община Гълъбово,Стара Загора,Гълъбово,,,,,,obshtinagalabovo@gmail.com
228,Община Гърмен,Благоевград,Гърмен,,,,,,oba@garmen.bg
229,Община Две могили,Русе,Две могили,,,,,,obshtina@dvemogili.egov.bg
230,Община Девин,Смолян,Девин,,,,,,obshtina@devin.bg
231,Община Девня,Варна,Девня,,,,,,kmet@devnia.bg
232,Община Джебел,Кърджали,Джебел,,,,,,kmet@dzhebel.bg
233,Община Димитровград,Хасково,Димитровград,,,,,,obshtina@dimitrovgrad.bg
234,Община Димово,Видин,Димово,,,,,,obstina_dimovo@abv.bg
235,Община Добрич,Добрич,Добрич,,,,,,obshtina@dobrichka.bg
236,Община Добричка,Добрич,Добричка,,,,,,obshtinadb@abv.bg
237,Община Долна Баня,София,Долна Баня,,,,,,
238,Община Долна Митрополия,Плевен,Долна Митрополия,,,,,,dolnamitropolia@el-soft.com
239,Община Долни Дъбник,Плевен,Долни Дъбник,,,,,,dolnidabnik@dolnidabnik.egov.bg
240,Община Долни Чифлик,Варна,Долни Чифлик,,,,,,obshtina@dolnichiflik.bg
241,Община Доспат,Смолян,Доспат,,,,,,Obshtina.Dospat@dospat.egov.bg
242,Община Драгоман,София,Драгоман,,,,,,obshtina_dragoman@abv.bg
243,Община Дряново,Габрово,Дряново,,,,,,dryanovo@dryanovo.bg
244,Община Дулово,Силистра,Дулово,,,,,,obshtina@dulovo.bg
245,Община Дупница,Кюстендил,Дупница,,,,,,admin_dupnitsa@dupnitsa.bg
246,Община Дългопол,Варна,Дългопол,,,,,,obshtina@dalgopol.egov.bg
247,Община Елена,Велико Търново,Елена,,,,,,obshtina@elena.bg
248,Община Елин Пелин,София,Елин Пелин,,,,,,cao@elinpelin.bg
249,Община Елхово,Ямбол,Елхово,,,,,,obshtina@elhovo.bg
250,Община Етрополе,София,Етрополе,,,,,,obstina@etropolebg.com
251,Община Завет,Разград,Завет,,,,,,zavet@zavet-bg.com
252,Община Земен,Перник,Земен,,,,,,obshtina_zemen@abv.bg
253,Община Златарица,Велико Търново,Златарица,,,,,,obshtina@zlataritsa.bg
254,Община Златица,София,Златица,,,,,,kao@zlatitsa.bg
255,Община Златоград,Смолян,Златоград,,,,,,ObA-zlatograd@zlatograd.bg
256,Община Ивайловград,Хасково,Ивайловград,,,,,,obshtina@ivaylovgrad.bg
257,Община Иваново,Русе,Иваново,,,,,,obshtina@ivanovo.bg
258,Община Искър,Плевен,Искър,,,,,,iskar@iskarbg.bg
259,Община Исперих,Разград,Исперих,,,,,,isperih@isperih.bg
260,Община Ихтиман,София,Ихтиман,,,,,,obshtina_ihtiman@mail.bg
261,Община Каварна,Добрич,Каварна,,,,,,obshtina@kavarna.bg
262,Община Казанлък,Стара Загора,Казанлък,,,,,,
263,Община Кайнарджа,Силистра,Кайнарджа,,,,,,
264,Община Калояново,Пловдив,Калояново,,,,,,kaloianovo@mail-bg.com
265,Община Камено,Бургас,Камено,,,,,,obshtina@kameno.bg
266,Община Каолиново,Шумен,Каолиново,,,,,,info@kaolinovo.bg
267,Община Карлово,Пловдив,Карлово,,,,,,obshtina@karlovo.bg
268,Община Карнобат,Бургас,Карнобат,,,,,,karnobat@mail.bg
269,Община Каспичан,Шумен,Каспичан,,,,,,obshtina@kaspichan.org
270,Община Кирково,Кърджали,Кирково,,,,,,kirkovo@kirkovo.bg
271,Община Кнежа,Плевен,Кнежа,,,,,,obstina_kneja@knezha.bg
272,Община Ковачевци,Перник,Ковачевци,,,,,,oba_kovachevtsi@abv.bg
273,Община Козлодуй,Враца,Козлодуй,,,,,,obshtina.kozloduy@gmail.com
274,Община Копривщица,София,Копривщица,,,,,,info@koprivshtitsa-bg.com
275,Община Костенец,София,Костенец,,,,,,kostenetz_adm@kostenetz.com
276,Община Костинброд,София,Костинброд,,,,,,kostinbrod.bg@gmail.com
277,Община Котел,Сливен,Котел,,,,,,kmet@kotel.bg
278,Община Кочериново,Кюстендил,Кочериново,,,,,,obst_kocherinovo@mail.bg
279,Община Кресна,Благоевград,Кресна,,,,,,obshtina_kresna@abv.bg
280,Община Криводол,Враца,Криводол,,,,,,krivodol@mbox.is-bg.net
281,Община Кричим,Пловдив,Кричим,,,,,,delovodstvo@krichim.egov.bg
282,Община Крумовград,Кърджали,Крумовград,,,,,,minkrum@krumovgrad.bg
283,Община Крушари,Добрич,Крушари,,,,,,krushari@krushari.bg
284,Община Кубрат,Разград,Кубрат,,,,,,kubrat@kubrat.org
285,Община Куклен,Пловдив,Куклен,,,,,,
286,Община Кула,Видин,Кула,,,,,,obshtina@kula.egov.bg
287,Община Кърджали,Кърджали,Кърджали,,,,,,obshtinakardzhali@kardjali.bg
288,Община Кюстендил,Кюстендил,Кюстендил,,,,,,obshtina@kyustendil.bg
289,Община Левски,Плевен,Левски,,,,,,obshtina@oblevski.egov.bg
290,Община Лесичово,Пазарджик,Лесичово,,,,,,oba_lesichovo@abv.bg
291,Община Летница,Ловеч,Летница,,,,,,letnitsa@mail.bg
292,Община Ловеч,Ловеч,Ловеч,,,,,,obshtina@lovech.bg
293,Община Лозница,Разград,Лозница,,,,,,obshtina@loznitsa.bg
294,Община Лом,Монтана,Лом,,,,,,lom.municipality@lom.egov.bg
295,Община Луковит,Ловеч,Луковит,,,,,,lukovit@lukovit.bg
296,Община Лъки,Пловдив,Лъки,,,,,,laki@laki.egov.bg
297,Община Любимец,Хасково,Любимец,,,,,,oba@lyubimets.bg
298,Община Лясковец,Велико Търново,Лясковец,,,,,,obshtina@lyaskovets.net
299,Община Мадан,Смолян,Мадан,,,,,,madanoba@gmail.bg
300,Община Маджарово,Хасково,Маджарово,,,,,,madjarovo@abv.bg
301,Община Макреш,Видин,Макреш,,,,,,makresh@b-trust.org
302,Община Малко Търново,Бургас,Малко Търново,,,,,,mt_kmet@mail.bg
303,Община Марица,Пловдив,Марица,,,,,,obshtina@maritsa.bg
304,Община Медковец,Монтана,Медковец,,,,,,medkovec@mail.bg
305,Община Мездра,Враца,Мездра,,,,,,obshtina@mezdra.egov.bg
306,Община Мизия,Враца,Мизия,,,,,,mizia@mizia.egov.bg
307,Община Минерални бани,Хасково,Минерални бани,,,,,,min_bani@abv.bg
308,Община Мирково,София,Мирково,,,,,,info@mirkovo.bg
309,Община Момчилград,Кърджали,Момчилград,,,,,,obshtina@momchilgrad.bg
310,Община Монтана,Монтана,Монтана,,,,,,montana@montana.bg
311,Община Мъглиж,Стара Загора,Мъглиж,,,,,,obshtina@maglizh.bg
312,Община Невестино,Кюстендил,Невестино,,,,,,obshtina@nevestino.bg
313,Община Неделино,Смолян,Неделино,,,,,,oba_nedelino@abv.bg
314,Община Несебър,Бургас,Несебър,,,,,,mer@nesebar.bg
315,Община Никола Козлево,Шумен,Никола Козлево,,,,,,obankozlevo@mail.bg
316,Община Николаево,Стара Загора,Николаево,,,,,,obnikolaevo@nikolaevo.net
317,Община Никопол,Плевен,Никопол,,,,,,obshtina@nikopol-bg.com
318,Община Нова Загора,Сливен,Нова Загора,,,,,,obshtina@nova-zagora.org
319,Община Нови Пазар,Шумен,Нови Пазар,,,,,,npazar@icon.bg
320,Община Ново село,Видин,Ново село,,,,,,obshtina-novoselo@abv.bg
321,Община Омуртаг,Търговище,Омуртаг,,,,,,kmet@omurtag.egov.bg
322,Община Опака,Търговище,Опака,,,,,,obstinaopaka@abv.bg
323,Община Опан,Стара Загора,Опан,,,,,,opan@mail.bg
324,Община Оряхово,Враца,Оряхово,,,,,,kmet@oryahovo.egov.bg
325,Община Павел Баня,Стара Загора,Павел Баня,,,,,,mayor@pavelbanya.bg
326,Община Павликени,Велико Търново,Павликени,,,,,,obshtina@pavlikeni.bg
327,Община Пазарджик,Пазарджик,Пазарджик,,,,,,secretary@pazardjik.bg
328,Община Панагюрище,Пазарджик,Панагюрище,,,,,,panagyurishte@panagyurishte.bg
329,Община Перник,Перник,Перник,,,,,,obshtina@pernik.bg
330,Община Перущица,Пловдив,Перущица,,,,,,obshtina@perushtitsa.egov.bg
331,Община Петрич,Благоевград,Петрич,,,,,,oapetrich@petrich.bg
332,Община Пещера,Пазарджик,Пещера,,,,,,mayor@peshtera.bg
333,Община Пирдоп,София,Пирдоп,,,,,,obshtina@pirdop.egov.bg
334,Община Плевен,Плевен,Плевен,,,,,,mayor@pleven.bg
335,Община Пловдив,Пловдив,Пловдив,,,,,,info@plovdiv.bg
336,Община Пловдив - Район Западен,Пловдив,Пловдив,Пловдив,Район Западен,,,,
337,Община Пловдив - Район Източен,Пловдив,Пловдив,Пловдив,Район Източен,,,,
338,Община Пловдив - Район Северен,Пловдив,Пловдив,Пловдив,Район Северен,,,,
339,Община Пловдив - Район Тракия,Пловдив,Пловдив,Пловдив,Район Тракия,,,,
340,Община Пловдив - Район Централен,Пловдив,Пловдив,Пловдив,Район Централен,,,,
341,Община Пловдив - Район Южен,Пловдив,Пловдив,Пловдив,Район Южен,,,,
342,Община Полски Тръмбеш,Велико Търново,Полски Тръмбеш,,,,,,obshtina@trambesh.egov.bg
343,Община Поморие,Бургас,Поморие,,,,,,mayor@pomorie.bg
344,Община Попово,Търговище,Попово,,,,,,obstina@popovo.bg
345,Община Пордим,Плевен,Пордим,,,,,,obshtina@podim.bg
346,Община Правец,София,Правец,,,,,,obshtina@pravets.bg
347,Община Приморско,Бургас,Приморско,,,,,,obshtina@primorsko.bg
348,Община Провадия,Варна,Провадия,,,,,,delo@provadia.bg
349,Община Първомай,Пловдив,Първомай,,,,,,obaparv@parvomai.bg
350,Община Раднево,Стара Загора,Раднево,,,,,,obshtina@radnevo.bg
351,Община Радомир,Перник,Радомир,,,,,,radomir@radomir.bg
352,Община Разград,Разград,Разград,,,,,,obshtina@razgrad.bg
353,Община Разлог,Благоевград,Разлог,,,,,,kmet@razlog.bg
354,Община Ракитово,Пазарджик,Ракитово,,,,,,rakitovo@rakitovo.bg
355,Община Раковски,Пловдив,Раковски,,,,,,oa@rakovski.bg
356,Община Рила,Кюстендил,Рила,,,,,,rilamunicipality@gmail.com
357,Община Родопи,Пловдив,Родопи,,,,,,obshtina@rodopi.bg
358,Община Роман,Враца,Роман,,,,,,roman@roman.bg
359,Община Рудозем,Смолян,Рудозем,,,,,,oba@rudozem.bg
360,Община Руен,Бургас,Руен,,,,,,ruen@ruen.egov.bg
361,Община Ружинци,Видин,Ружинци,,,,,,rujinci@abv.bg
362,Община Русе,Русе,Русе,,,,,,mayor@ruse-bg.eu
363,Община Садово,Пловдив,Садово,,,,,,sadovo@sadovo.bg
364,Община Самоков,София,Самоков,,,,,,samokov@samokov.bg
365,Община Самуил,Разград,Самуил,,,,,,info@samuil.bg
366,Община Сандански,Благоевград,Сандански,,,,,,oba@sandanski.bg
367,Община Сапарева Баня,Кюстендил,Сапарева Баня,,,,,,sap_oba@abv.bg
368,Община Сатовча,Благоевград,Сатовча,,,,,,kmet@satovcha.bg
369,Община Свиленград,Хасково,Свиленград,,,,,,obshtina@svilengrad.bg
370,Община Свищов,Велико Търново,Свищов,,,,,,obshtina@svishtov.bg
371,Община Своге,София,Своге,,,,,,delovodstvo@svoge.bg
372,Община Севлиево,Габрово,Севлиево,,,,,,sevlievo@sevlievo.bg
373,Община Септември,Пазарджик,Септември,,,,,,municipality@septemvri.bg
374,Община Силистра,Силистра,Силистра,,,,,,mayor@silistra.bg
375,Община Симеоновград,Хасково,Симеоновград,,,,,,obshtina@simeonovgrad.bg
376,Община Симитли,Благоевград,Симитли,,,,,,oba@simitli.bg
377,Община Ситово,Силистра,Ситово,,,,,,sitovo@mail.bg
378,Община Сливен,Сливен,Сливен,,,,,,obstina@sliven.bg
379,Община Сливница,София,Сливница,,,,,,slivnitsa@slivnitsa.bg
380,Община Сливо поле,Русе,Сливо поле,,,,,,slivopole@slivopole.bg
381,Община Смолян,Смолян,Смолян,,,,,,obshtina@smolyan.egov.bg
382,Община Смядово,Шумен,Смядово,,,,,,obshtina_smiadovo@abv.bg
383,Община Созопол,Бургас,Созопол,,,,,,obshtina@sozopol.bg
384,Община Сопот,Пловдив,Сопот,,,,,,
385,Община Средец,Бургас,Средец,,,,,,info@sredets.bg
386,Община Стамболийски,Пловдив,Стамболийски,,,,,,obshtina@stamboliyski.egov.bg
